Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
New Jersey,Grenloch Sand,,13.1,17.9,Hunter and Huddlestun 1980,"This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Unclear whether the name Grenlock Sand still in use.",,Hunter and Huddlestun 1980 suggest that Plum Point (MD) correlates with Alloway Clay and Grenlock Sand members of Kirkwood fm (NJ).,
New Jersey,Alloway Clay,,13.1,17.9,Hunter and Huddlestun 1980,"This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Unclear whether the name Alloway Clay is still in use.",,Hunter and Huddlestun 1980 suggest that Plum Point (MD) correlates with Alloway Clay and Grenlock Sand members of Kirkwood fm (NJ).,
New Jersey,Kirkwood,Undifferentiated,13.3,23.6,,,See age details for constituent units.,,
New Jersey,Kw3,,13.3,13.7,"Miller and Sugarman 1995, Sugarman et al 1999","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Belleplain Mbr and Kw3 are equivalent (Miller et al 1997).",Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 13.6-12.2 for Kw3. Miller and Sugarman 1995 dated other samples from 13.3-13.6. Miller et al 1996 are in a similar range. Miller et al 1997 put the boundaries at 13.3 and 13.7.,,
New Jersey,Belleplain,,13.3,13.7,"Miller and Sugarman 1995, Sugarman et al 1999","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Belleplain Mbr and Kw3 are equivalent (Miller et al 1997).",Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 13.6-12.2 for Kw3. Miller and Sugarman 1995 dated other samples from 13.3-13.6. Miller et al 1996 are in a similar range. Miller et al 1997 put the boundaries at 13.3 and 13.7.,,
New Jersey,Kw2b,,15.9,16.3,"Miller and Sugarman 1995, Sugarman et al 1997","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Kw2a,b are equivalent to the Wildwood Mbr (Miller et al 1997).",Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 16.0-15.5 for Kw2b. Miller and Sugarman 1995 estimated ages of 15.9-16.3. Miller et al 1996 and 1997 are in a similar range.,,
New Jersey,Wildwood,,15.9,17.8,Miller et al 1997,"This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Kw2a,b are equivalent to the Wildwood Mbr (Miller et al 1997).",,,
New Jersey,Kw2a,,16.7,17.8,"Miller and Sugarman 1995, Sugarman et al 1996","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Kw2a,b are equivalent to the Wildwood Mbr (Miller et al 1997).",Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 17.4-17.0 for Kw2a. Miller and Sugarman 1995 dated Kw2a from 17.0-18.2 at Atlantic City and 16.9 at Cape May. Miller et al 1996 found/estimated nothing younger than 17.5. Miller et al 1997 placed the boundaries for Atlantic City log at 16.7 (with a question mark) and 17.8.,,
New Jersey,Asbury Park,,18.1,20.3,Hunter and Huddlestun 1980,"This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Unclear whether the name Asbury Park is still in use.",,Hunter and Huddlestun 1980 suggest that Fairhaven (MD) correlates with Asbury Park Member (Tedford and Hunter suggest 18-20 Ma)of Kirkwood fm (NJ).,
New Jersey,Kw1b,,19.9,20.4,"Miller and Sugarman 1995, Sugarman et al 1995","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Shiloh Marl Mbr and Kw1b are equivalent (Miller et al 1997).","Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 22.6-19.2 for Kw1. Miller and Sugarman 1995 separated Kw1a and Kw1b and estimated Kw1b at 20.4-20.2 at Cape May, 18.6-19.5 at Atlantic City. The Miller et al 1997 log of Atlantic City placed the upper Kw1b surface at 19.9 Ma.",,
New Jersey,Shiloh,,19.9,20.4,Miller et al 1997,"This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Shiloh Marl Mbr and Kw1b are equivalent (Miller et al 1997).",,,
New Jersey,Kw1a,,20.3,22,"Miller and Sugarman 1995, Sugarman et al 1994","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Miller et al 1997 said that Kw0,1a is equivalent to the Brigantine Member.","Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 22.6-19.2 for Kw1. Miller and Sugarman 1995  separated Kw1a and Kw1b and estimated Kwa1 deposition from 20.4 to 20.9 in a thicker section. Miller et al 1996 compared various curves and generally didn't suggest any date younger than 19 or older than 22 for Kw1. Miller et al 1997 put the upper boundary of Kw1a at 20.3, and the lower boundary at 23.6 minimum for K0, or around 22.2 for K0-K1 contact.",,
New Jersey,Brigantine,,20.3,23.6,"Miller and Sugarman 1995, Sugarman et al 1994","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Miller et al 1997 said that Kw0,1a is equivalent to the Brigantine Member.","Sugarman et al 1993 used Sr and Andrew's 1988 diatom biostrat to calculated 22.6-19.2 for Kw1. Miller and Sugarman 1995  separated Kw1a and Kw1b and estimated Kwa1 deposition from 20.4 to 20.9 in a thicker section. Miller et al 1996 compared various curves and generally didn't suggest any date younger than 19 or older than 22 for Kw1. Miller et al 1997 put the upper boundary of Kw1a between 20.0 and 20.3, and the lower boundary at 23.6 minimum for K0, or around 22.2 for K0-K1 contact.",,
New Jersey,Kw0,,22.2,23.6,"Miller and Sugarman 1995, Sugarman et al 1993","This unit is a member of the Kirkwood fm, but is placed in the fm category here so as to differentiate among members and between New Jersey and Maryland sections of the Kirkwood fm during data analysis. Miller and Sugarman's first estimates were 21.9-26. Miller et al 1997","Miller et al 1997 put  the lower boundary at 23.6 minimum for K0, and around 22.2 for K0-K1 contact.",,
"New Jersey, Maryland, Delaware, Virginia",Calvert,Undifferentiated,13.1,20.3,"Reinhardt et al 1980, Gibson 1980; Gibson 1983",,"Pazzaglia 1993 et al did not find any Calvert rock older than 17 Ma in VA and S MA, but did find part of this unit down to ca. 19 Ma in the Delmarva. If the Fairhaven was not considered part of the Calvert fm, then this date is within error of Huddleston and Hunter's 20.3 Ma lower estimate. Hunter and Huddlestun's upper 15 Ma estimate is late; Miller and Sugarman 1995 dated the top of the Plum Point at 13.0-13.1.","Darton 1911 is probably outdated now: said it overlies Aquia fm and underlies Lafayettte fm, both with direct contacts.",
"New Jersey, Maryland, Virginia",St Marys,,7,12.5,"Blackwelder and Ward 1976, Gibson 1980, McCartan et al 1995",Shattuck 1904 original zones (i.e. beds) 20 or 21-24 (depending on author).,"12.5 +/- 0.5 Ma (Blackwelder and Ward 1976). Gibson 1980 plots the formation from ca 11.5-12.5 Ma on a correlation chart. Top of unit correlates to foram zone N17 (Hazel 1978), a zone which Huddlestun 1988 plotted with range of 5.3-7.2. Pazzaglia 1993 et al do not draw definite boundaries to St Marys in their log, but estimate a range of 10-12.5 for VA and MD, 7-10 in Delmarva.",,
"New Jersey, Pennsylvania",Cape May,,0.01,0.13,"Salisbury 1898, Richards 1944",,"Salisbury 1898 and Wilmarth 1936 considered the deposit Wisconsinan. MacClintock 1943 decided it was Sangamonian. Richards 1944 excavated Cape May Canal and thought the unit ""represents entire duration of the Pleistocene between last major interglacial and the Recent."" Gray 1960 compiled the geologic map of PA and assigned Pensauken to Illinoian and Cape May to Wisconsin stages. Gyer and Wilshusen 1982 reinstated the name Trenton Gravel to replace the name Cape May fm in PA.",Overlies the Pensauken fm.,
"New Jersey, Pennsylvania",Jamesburg,,0.01,0.13,,USGS considers the Jamesburg to be a synonym of the Cape May formation,,,
New York,Bellmore,,0.01,0.1,Sanders and Merguerian 1994,Long Island glacial outwash deposits,"Sanders et al 1994 place the Bellmore above the Wantagh fm and note that if the latter is confirmed as Sangamonian, then Bellmore is early Wisconsinan. ",,
New York,Harbor Hill,,0.01,0.075,Swarzenski 1963,Till from Harbor Hill moraine,Swarzenski 1963 named the unit and determined it as Wisconsinan in a USGS water supply survey,,
New York,Manhasset,Roslyn,0.01,0.15,Sirkin 1976,,,Correlates with New Shoreham fm,
New York,Ronkonkoma,,0.01,0.13,Swarzenski 1963; Fuller 1914,Eastern end of Long Island,"Veatch 1903 and Fuller 1914 agreed the unit was early Wisconsinan, older than Harbor Hill (the outer moraine) but younger than Vineyard uplift.",,
New York,Wantagh,,0.01,0.13,"Rampino and Sanders 1981, Sanders and Merguerian 1994",Rampino and Sanders 1981 renamed subsurface Gardiners Clay the Wantagh.,"Rampino and Sanders 1981 assign a middle Wisconsinan age. Sanders and Merguerian 1994 revise the estimate as Sangamonian, possibly ranging to the middle Wisconsinan. ",Overlies the Merrick formation and underlies the Bellmore formation. Both contacts and unconformities.,
New York,Merrick,,0.12,0.14,"Rampino and Sanders 1981, Oldale and Colman 1992",,"Early Wisconsinan according to describers, Rampino and Sanders 1981. However, Oldale and Colman 1992 thought the Montauk Till and Merrick were equivalent and Illinoian; isotopic dates from the same paper for the Montauk Till were 140-140 ka. Sanders and Merguerian 1994 assigned the overlying unit to the Sangamonian-Wisconsinan.","Overlies Gardiners Clay, a younger unit, due to extensive faulting and folding.",
"New York, Pennsylvania",Olean,,0.01,0.13,MacClintock and Apfel 1944,,USGS and NY state survey consider the till Wisconsinan,,
North Carolina,Core Creek Sand,,0,0.08,,,informal unit,,
North Carolina,Qu,Undifferentiated,0,0.08,,,,,
North Carolina,Flanner Beach,Undifferentiated,0.1,0.24,McCartan et al (1982); Miller (1985); Krantz (1990); Denison et al (1993); Harris (1996),"Numerous names have been applied to middle and upper Pleistocene units between the Cape Fear and Neuse Rivers in NC, including the Socastee, Canepatch and Flanner Beach Frms (Harris 1996). DuBar and Solliday (1963) renamed the ""Pamlico"" deposits the Flanner Beach Frm and rejected the usage of the Pamlico Frm (Ward 2008). Fallaw and Wheeler (1969) rejected usage of the Flanner Beach Frm and indicated that the Flanner Beach Frm includes deposits of Horry Clay and Croatan Frm and is not a distinct lithological unit. Mixon and Pilkey (1976) adopted the Flanner Beach Frm for use by the USGS and restricted the unit to exclude the Minnesott Ridge sand and younger Pleistocene beds. Blackwelder (1981b) revised the Flanner Beach Frm to include sediments previously assigned to the Neuse Frm and abandoned usage of the Neuse Frm.","*The Flanner Beach Frm is typically assigned to the middle Pleistocene (Krantz 1990; Denison et al 1993; Harris 1996), with an age of 240-180 Ka (McCartan et al 1982; Miller 1985). However, younger dates for correlative sediments of the Socastee and Neuse Frms suggest that the age of the Flanner Beach Frm may be younger, around the Sangamon Interglacial (~125-75 Ka), which Phillips (1995) has cited as an age for the Frm. Denison et al (1993) cited a mid-Pleistocene age for lower Croatan sediments, but also indicated a possible age of 1.2-0.8 Ma; this older age could result from fact that the Croatan Frm = James City Frm, as the name has been in flux. Cronin et al (1981) found an age of >500 Ka for a coral from this Frm, but the coral may have been re-worked from lower units. Muhs et al (2003) discussed some of the ambiguities in dating Quaternary Frms in the Atlantic Coastal Plain. ","Correlated with the Socastee, Norfolk [now Shirley, Tabb or Acredale Frms] and Omar Frms (McCartan et al 1982); correlated with the Great Bridge Frm of southeastern VA [now Acredale Frm] and with the Socastee Frm of southeastern NC and northeastern SC (Miller 1985); the Acredale Frm, however, appears younger than the Socastee and Flanner Beach Frms, although the age is debated; correlated with the Socastee Frm, Shirley Frm and the Sedgefield Member of the Tabb Frm (Soller and Mills 1991); Dockal (1996), Harris (1996), and Soller and Mills (1991) also correlated the unit with the Socastee Frm.","Miller (1985) indicated the Great Bridge Frm of southeastern VA [now Acredale Frm] is correlative, but the unit is younger than the Flanner Beach Frm in this compilation. "
North Carolina,James City ,Undifferentiated,1,2.1,Blackwelder (1981b); Wehmiller et al (1988); Krantz (1991); Campbell (1993); Ward (2008),"The James City was initially called the Croatan Beds by Dall in 1892, and this name is probably still valid (Hazel 1983), but the ""James City"" name has predominated. Blackwelder (1981b) renamed the lower Croatan deposits as the Chowan River Frm and the upper Croatan deposits as the James City Frm. The Croatan name is still in use by some (e.g., Denison et al 1993). According to Ward et al (1991), correlative deposits are assigned to the Waccamaw Frm south of New River, and the James City Frm actually contains several beds of slightly different ages of similar lithology, but with different molluscan assemblages, all within the early Pleistocene; this was later echoed by Ward (2008), when he stated that the James City Frm is divided into two deposits, both of which are roughly equivalent to the two Waccamaw Frm deposits. *However, L. Campbell (pers comm 2013) indicated Ward and Blackwelder (1987) misapplied the name James City at Aurora, and the unit in question is an equivalent to the upper Waccamaw (and older than the stratotype of the James City Frm). Campbell also indicated the James City is not a Bermont Frm equivalent (~1.6-1.1 Ma), as is shown here, since none of the distinctive index fossils that mark the Bermont Frm have been found in the James City Frm; thus, the dates here may be too old for the upper or type James City Frm. The type James City equivalent beds in South Carolina are often called the Wicomico Frm (L. Campbell pers comm 2013). ",See age details for constituent units.,"The James City Frm unconformably overlies the Chowan River Frm in NC (Ward and Blackwelder 1987; Krantz 1991); the unit correlates with the Waccamaw Frm (Blackwelder and Ward 1979; Blackwelder 1981b). Campbell (1993) indicated the James City, upper Waccamaw, and upper Caloosahatchee faunas were victims of the same extinction event. ","Campbell (pers comm 2013) indicated the James City and Bermont Frms are not equivalents and do not share characteristic index fossils, but here they are shown as time equivalent. "
North Carolina,James City ,Upper,1,1.6,Blackwelder (1981b); Wehmiller et al (1988); Krantz (1991),"The James City was initially called the Croatan Beds by Dall in 1892, and this name is probably still valid (Hazel 1983), but the ""James City"" name has predominated. Blackwelder (1981b) renamed the lower Croatan deposits as the Chowan River Frm and the upper Croatan deposits as the James City Frm. The Croatan name is still in use by some (e.g., Denison et al 1993). According to Ward et al (1991), correlative deposits are assigned to the Waccamaw Frm south of New River, and the James City Frm actually contains several beds of slightly different ages of similar lithology, but with different molluscan assemblages, all within the early Pleistocene; this was later echoed by Ward (2008), when he stated that the James City Frm is divided into two deposits, both of which are roughly equivalent to the two Waccamaw Frm deposits. *However, L. Campbell (pers comm 2013) indicated Ward and Blackwelder (1987) misapplied the name James City at Aurora, and the unit in question is an equivalent to the upper Waccamaw (and older than the stratotype of the James City Frm). Campbell also indicated the James City is not a Bermont Frm equivalent (~1.6-1.1 Ma), as is shown here, since none of the distinctive index fossils that mark the Bermont Frm have been found in the James City Frm; thus, the dates here may be too old for the upper or type James City Frm. The type James City equivalent beds in South Carolina are often called the Wicomico Frm (L. Campbell pers comm 2013). ","Slightly younger ages are cited by Miller (1985) of 1-0.7 Ma, and by McCartan et al (1982) of 1.4-1.1 Ma.","The James City Frm unconformably overlies the Chowan River Frm in NC (Ward and Blackwelder 1987; Krantz 1991); the unit correlates with the Waccamaw Frm (Blackwelder and Ward 1979; Blackwelder 1981b). Campbell (1993) indicated the James City, upper Waccamaw, and upper Caloosahatchee faunas were victims of the same extinction event. ","Campbell (pers comm 2013) indicated the James City and Bermont Frms are not equivalents and do not share characteristic index fossils, but here they are shown as time equivalent. "
North Carolina,James City ,Lower,1.9,2.1,Campbell (1993); Ward (2008),,,,
North Carolina,Chowan River,,2.1,2.6,"Cronin et al 1984; Groot 1991; Krantz 1991; Ramsey 1988, 1992; Campbell 1993; Pazzaglia 1993; Campbell and Campbell 1995; Hobbs 2004","The Chowan River Frm was named by Blackwelder (1981b) for sediments previously mapped as the Yorktown Frm and the Croatan Frm. Blackwelder (1981b) renamed the lower deposits as the Chowan River Frm and the upper deposits as the James City Frm. The Croatan Frm is still in use by some (e.g., Denison et al 1993). The Chowan River Frm unconformably overlies the Yorktown Frm and unconformably underlies the James City Frm (Ward et al 1991; Snyder and Riggs 1993). According to L. Campbell (pers comm 2013), Ward and Blackwelder (1987) misapplied the name ""Chowan River"" at Aurora because the fauna is not conformable with the fauna at the type section, but rather is equivalent to the lower Waccamaw Frm (with a cited older date for the lower Waccamaw of 2.4 Ma). The Chowan River includes two members, the Colerain and Edenhouse.","Ages have been obtained anywhere from 3 to 1.9 Ma. Ages have centered around 2.5 or 2.1 Ma, but  have also been found as old as 2.8 or 3 Ma: 2.4-1.9 Ma (Bender unpublished data, from Blackwelder 1981a,b); N21 (~2.4-1.9 Ma) (Cronin et al 1984); 2.8 Ma (Groot 1991); 2.9-2.6 or 2.2-2.1 Ma (Krantz 1991); 2.5 Ma (Ramsey 1988, 1992); 2.5 Ma (Campbell 1993); 3.4-2 Ma from strat chart (Pazzaglia 1993); 3-2.8 Ma (Campbell and Campbell 1995); 2.40-1.9 Ma (Hobbs 2004).","Correlated with the Bear Bluff and Cypresshead Frms (Krantz 1991) [note that in this report, the Cypresshead and Bear Bluff Frms are not time equivalent]; correlated with deposits in SC known as the Bear Bluff Frm (Ward et al 1991); correlated with Pinecrest Beds 2 and 3 of the APAC Pit (Campbell 1993); the Chowan River fauna is older than the lower Waccamaw Frm, but younger than the Duplin Frm (Campbell and Campbell 1995); the upper Pinecrest Beds (units 4-2 sensu Allmon et al 1996a,b) are separated by a hiatus and may be equivalents of the Chowan River Frm of SE VA and NE Carolinas (Dowsett and Willard 1996; Jones et al 1991); the Bear Bluff (SC), Caloosahatchee (FL) and Chowan River Frms are equivalent (Blackwelder 1981a; Ward and Blackwelder 1987) [note that the Caloosahatchee Frm is younger than the Chowan River Frm in this report]; equivalent to the Bear Bluff Frm (Harris 1996).","Campbell (1993) correlated the unit in part with the Moore House Member of the Yorktown Frm of Krantz (1991) and Ward et al (1991), which is restricted to 3.5 Ma, but the Yorktown Frm (Moore House Member) is below the Chowan River Frm in this compilation. Ward and Gilinsky (1993) did not agree with Campbell (1993) in equating the Moore House Member of the Yorktown Frm with the Chowan River beds (Campbell and Campbell 1995). Evidence suggests that the Chowan River Frm is younger than 3.5 Ma."
North Carolina,Morgarts Beach,,3.1,4.6,Hazel (1983); Snyder et al (1983); Dowsett and Cronin (1990); Cronin (1991); Krantz (1991); Dowsett and Wiggs (1992),"Morgarts Beach is a member of the Yorktown, but it is placed in the fm category here for data processing purposes, i.e. to differentiated North Carolina vs Virginia units within the mbr. Campbell (1993) indicated the members proposed by Ward and Blackwelder (1980) are not lithostratigraphic units and should not be in use; however, the units are still widely cited in the literature. The members of the Yorktown Frm are mapped as far south as the Neuse River in NC (Ward 2001, 2008). The Yorktown Frm is usually used for lower and lower upper Pliocene sediments that occur north of the Neuse Hing on the Albemarle Block, whereas the Duplin Frm is used for age-equivalent sediments that occur south of Neuse Hing on the Onslow Block (Ward et al 1991). The uppermost Moore House Member is restricted to southeastern Virginia (Ward et al 1991).","~4.8-2.8 Ma, with the upper limit near the middle of zone N21 (Cronin et al 1984; Lyons 1991); however, Ramsey (1992) indicated the dates may be closer to 4.5-3 Ma (following Krantz 1991); late zone N18 and zone N19 or PL1-PL3 (Akers 1972); upper zone N19 (Blackwelder 1981b); 4.5-3 Ma (Hazel 1983, Snyder et al 1983, Cronin 1991, Ramsey 1992); PL1b-PL3, authors favor younger dates in this range (Dowsett and Cronin 1990; Dowsett and Wiggs 1992); 3.2 Ma (Campbell 1993); 5.3-3.4 Ma (Pazzaglia 1993); 3.5-2.9 Ma (Willard 1994); 3.8 Ma (Campbell pers comm 2013); Denison et al (1993) suggested younger dates (age N21 or N22, ~2.1-1.4 Ma), but these may have resulted from differing definitions of stratigraphy: the authors placed the Yorktown Frm as immediately succeeded by the Croatan Frm, which is now the Flanner Beach, and thus they could have been sampling what is now the Chowan River Frm (in NC).","The Moore House Member is the youngest unit and does not seem to be correlated with any unit in SC or GA (Krantz 1991); the Yorktown Frm is the same age as the Duplin and Raysor Frms (Cronin et al 1984; Ward and Huddlestun 1988; Dowsett and Wiggs 1992) and the Jackson Bluff Frm (Huddlestun 1988; Allmon et al 1996a); Akers (1972) correlated the unit with the Jackson Bluff and Agurgurxquite Frms of Mexico; Cronin (1991) correlated the unit with the lower Pinecrest Beds and the Duplin and Raysor Frms of NC, SC and GA; Cronin and Dowsett (1996) indicated units 10-5 of the Pinecrest Beds are equivalent to these members of the Yorktown [only partially in this report].","Campbell (1993) correlated the Moore House Member of Ward et al (1991) and Krantz (1991) with the Chowan River Frm, which is restricted to 3.5 Ma, but the Yorktown Frm (Moore House Member) is below the Chowan River Frm in this compilation. Ward and Gilinsky (1993) did not agree with Campbell (1993) in equating the Moore House Member of the Yorktown Frm with the Chowan River beds (Campbell and Campbell 1995). Evidence suggests that the Chowan River Frm is younger than 3.5 Ma. Harris (1996) indicated the Rushmere and Morgarts Beach Members of the Yorktown Frm = Duplin Frm, but in this report, the Duplin Frm is only partially correlated with the upper part of the Yorktown Frm.  Campbell et al (2011) indicated the lower Goose Creek Limestone of SC, Unit 3 of the Yorktown Frm, the Tamiami Limestone and lower Jackson Bluff Frm of Florida are all correlated by a Leptopecten unit (Early Pliocene), but while the Yorktown Frm seems to span all these units, the Jackson Bluff in this report overlies the Tamiami Limestone and is age-equivalent to the upper Goose Creek, not the lower. "
North Carolina,Rushmere,,3.1,4.6,Hazel (1983); Snyder et al (1983); Dowsett and Cronin (1990); Cronin (1991); Krantz (1991); Dowsett and Wiggs (1992),"Rushmere is a member of the Yorktown, but it is placed in the fm category here for data processing purposes, i.e. to differentiated North Carolina vs Virginia units within the mbr. Campbell (1993) indicated the members proposed by Ward and Blackwelder (1980) are not lithostratigraphic units and should not be in use; however, the units are still widely cited in the literature. The members of the Yorktown Frm are mapped as far south as the Neuse River in NC (Ward 2001, 2008). The Yorktown Frm is usually used for lower and lower upper Pliocene sediments that occur north of the Neuse Hing on the Albemarle Block, whereas the Duplin Frm is used for age-equivalent sediments that occur south of Neuse Hing on the Onslow Block (Ward et al 1991). The uppermost Moore House Member is restricted to southeastern Virginia (Ward et al 1991).","~4.8-2.8 Ma, with the upper limit near the middle of zone N21 (Cronin et al 1984; Lyons 1991); however, Ramsey (1992) indicated the dates may be closer to 4.5-3 Ma (following Krantz 1991); late zone N18 and zone N19 or PL1-PL3 (Akers 1972); upper zone N19 (Blackwelder 1981b); 4.5-3 Ma (Hazel 1983, Snyder et al 1983, Cronin 1991, Ramsey 1992); PL1b-PL3, authors favor younger dates in this range (Dowsett and Cronin 1990; Dowsett and Wiggs 1992); 3.2 Ma (Campbell 1993); 5.3-3.4 Ma (Pazzaglia 1993); 3.5-2.9 Ma (Willard 1994); 3.8 Ma (Campbell pers comm 2013); Denison et al (1993) suggested younger dates (age N21 or N22, ~2.1-1.4 Ma), but these may have resulted from differing definitions of stratigraphy: the authors placed the Yorktown Frm as immediately succeeded by the Croatan Frm, which is now the Flanner Beach, and thus they could have been sampling what is now the Chowan River Frm (in NC).","The Moore House Member is the youngest unit and does not seem to be correlated with any unit in SC or GA (Krantz 1991); the Yorktown Frm is the same age as the Duplin and Raysor Frms (Cronin et al 1984; Ward and Huddlestun 1988; Dowsett and Wiggs 1992) and the Jackson Bluff Frm (Huddlestun 1988; Allmon et al 1996a); Akers (1972) correlated the unit with the Jackson Bluff and Agurgurxquite Frms of Mexico; Cronin (1991) correlated the unit with the lower Pinecrest Beds and the Duplin and Raysor Frms of NC, SC and GA; Cronin and Dowsett (1996) indicated units 10-5 of the Pinecrest Beds are equivalent to these members of the Yorktown [only partially in this report].","Campbell (1993) correlated the Moore House Member of Ward et al (1991) and Krantz (1991) with the Chowan River Frm, which is restricted to 3.5 Ma, but the Yorktown Frm (Moore House Member) is below the Chowan River Frm in this compilation. Ward and Gilinsky (1993) did not agree with Campbell (1993) in equating the Moore House Member of the Yorktown Frm with the Chowan River beds (Campbell and Campbell 1995). Evidence suggests that the Chowan River Frm is younger than 3.5 Ma. Harris (1996) indicated the Rushmere and Morgarts Beach Members of the Yorktown Frm = Duplin Frm, but in this report, the Duplin Frm is only partially correlated with the upper part of the Yorktown Frm.  Campbell et al (2011) indicated the lower Goose Creek Limestone of SC, Unit 3 of the Yorktown Frm, the Tamiami Limestone and lower Jackson Bluff Frm of Florida are all correlated by a Leptopecten unit (Early Pliocene), but while the Yorktown Frm seems to span all these units, the Jackson Bluff in this report overlies the Tamiami Limestone and is age-equivalent to the upper Goose Creek, not the lower. "
North Carolina,Eastover,Undifferentiated,4.8,8.9,Gibson 1980,Gibson 1980 correlation chart indicates shorter timespan for the formation in N Carolina than Maryland or Virginia,,,
North Carolina,Pungo River,unit D,9.8,13,Scarborough et al 1980,,Scarborough et al 1980 log (Fig 4) plots age range as 9.8-13.0 Ma.,,
North Carolina,Pungo River,Undifferentiated,13,16.5,"Scarborough et al 1980, Riggs et al 1985, Denison et al 1993","There are 6 or more units to the formation. Note that in 1980, when many of the correlations were made, the end-Miocene was put at 24 Ma (now placed 23 Ma). The Belhaven Phosphatic Sand and Bonnerton units have been defined as members.","Lower part correlates to Blow's zone N8 or N9 (Langhian), upper to N11 (mid Serravallian, ca 12.5 Ma), according to Abbott and Ernissee. Rocks of 2 (maybe 3) ages are included in the unit; in the NE of NC, age is tightly constrained to ca 14.5-15 Ma; in rest of state, age ranges back to ca 20.5 Ma (Scarborough et al 1980). Snyder and Hine 1980 plotted a younger end age of 9.8 on correlation chart Fig 11. Riggs et al 1985 said deposition was from 13 to 19 Ma, which agrees with Denison et al 1993's Sr isotope date of 16.5 +/- 0.5.",,
North Carolina,Pungo River,unit C,13,15.5,Scarborough et al 1980,,Scarborough et al 1980 log (Fig 4) plots age range as 13.0-15.5 Ma.,,
North Carolina,Pungo River,unit B,15.5,16.5,Scarborough et al 1980,,Scarborough et al 1980 log (Fig 4) plots age range as 15.5-16.5 Ma.,,
North Carolina,Pungo River,unit A,16.5,19,Scarborough et al 1980,,Scarborough et al 1980 log (Fig 4) plots age range as 16.5-19.0 Ma.,,
North Carolina,Silverdale,,24,25.2,Gibson 1980,,Chattian (24-25.2) based on Gibson 1980 correlation chart,,
"North Carolina, South Carolina",Cape Fear,,0.1,0.2,,See EES notes on Neuse and Flanner Beach fms,,,
"North Carolina, South Carolina",Goose Creek Limestone,Undifferentiated,3.55,4,Ward and Huddlestun (1988); Campbell and Campbell (1995),,See age details for constituent units.,,
